index,fold
3238,2
3249,0
3254,1
3257,2
3272,2
3273,0
3283,0
3286,1
3287,1
3289,2
3290,1
3293,2
3307,0
3312,0
3315,0
3316,1
3320,2
3321,1
3324,1
3329,0
3330,2
3332,1
3337,2
3338,1
3341,0
3343,1
3348,2
3352,1
3357,2
3358,0
3366,1
3374,1
3382,1
3394,0
3395,2
3407,1
3410,1
3423,2
3426,2
3429,1
3443,1
3450,0
3452,0
3470,0
3471,1
3474,0
3476,2
3487,1
3489,1
3492,2
3500,0
3506,2
3520,0
3543,1
3545,1
3547,1
3559,2
3568,0
3583,1
3592,2
3596,2
3606,0
3611,2
3614,0
3618,1
3625,1
3626,0
3646,2
3650,1
3671,2
3684,0
3690,2
3694,0
3696,0
3698,1
3708,0
3713,0
3715,0
3726,0
3733,1
3750,2
3753,0
3762,1
3763,2
3771,1
3793,2
3803,1
3811,0
3815,0
3818,2
3823,2
3824,1
3834,2
3835,0
3846,0
3850,2
3870,1
3874,0
3887,0
3904,0
3913,0
3920,2
3922,2
3927,2
3943,1
3972,2
3980,1
3983,1
3994,2
4004,0
4013,1
4040,1
4058,1
4062,2
4063,1
4066,1
4094,0
4097,2
4101,1
4104,0
4108,2
4114,0
4139,0
4145,1
4147,1
4148,1
4154,0
4164,0
4168,0
4177,1
4179,1
4191,1
4198,1
4202,2
4204,2
4205,1
4224,2
4226,1
4243,2
4249,2
4277,1
4293,2
4296,0
4299,2
4323,1
4330,0
4331,1
4334,1
4345,2
4351,2
4352,0
4356,0
4366,1
4377,2
4380,0
4381,1
4388,2
4400,0
4401,2
4403,0
4406,2
4408,2
4411,0
4433,0
4458,2
4459,2
4465,1
4475,2
4500,2
4502,2
4504,1
4505,1
4508,2
4512,0
4515,1
4534,1
4536,2
4538,0
4543,2
4553,0
4559,1
4575,0
4579,1
4583,0
4586,0
4590,1
4592,1
4595,2
4613,0
4654,0
4657,2
4660,0
4662,1
4668,2
4669,2
4671,2
4673,0
4676,2
4677,2
4680,2
4684,2
4698,1
4701,1
4718,0
4728,2
4730,0
4733,0
4741,0
4744,1
4762,1
4778,1
4780,0
4782,0
4784,1
4795,0
4797,2
4798,0
4800,0
4802,0
4803,0
4806,2
4818,1
4828,1
4832,1
4875,0
4878,1
4886,2
4895,2
4907,0
4909,1
4914,1
4922,1
4938,1
4939,0
4949,1
4951,1
4960,0
4962,2
4966,1
4982,1
4992,2
4996,2
5001,2
5014,1
5035,2
5051,1
5059,1
5094,1
5108,1
5109,1
5116,2
5136,0
5146,1
5175,0
5179,1
5181,1
5187,1
5201,1
5206,1
5216,2
5234,1
5241,0
5245,2
5249,0
5251,1
5255,2
5262,0
5265,1
5269,1
5288,2
5292,0
5304,1
5309,2
5322,2
5324,2
5329,1
5332,2
5334,1
5341,0
5345,2
5346,1
5363,2
5365,0
5369,2
5370,1
5376,2
5388,0
5390,0
5402,2
5407,0
5416,1
5418,1
5421,0
5424,1
5431,0
5438,0
5442,2
5451,1
5454,2
5464,1
5478,1
5479,1
5481,1
5503,1
5511,1
5522,2
5529,1
5548,2
5555,2
5558,0
5562,1
5567,1
5570,1
5571,2
5572,2
5573,1
5576,1
5580,0
5590,0
5595,2
5598,1
5599,0
5604,2
5608,0
5626,2
5632,1
5639,0
5650,1
5654,0
5663,0
5667,2
5672,1
5681,0
5685,0
5687,2
5704,0
5721,2
5728,2
5730,0
5749,1
5755,0
5759,1
5770,0
5784,2
5787,1
5799,0
5800,2
5804,1
5824,2
5825,1
5826,1
5828,2
5836,1
5837,1
5860,2
5863,1
5872,0
5876,2
5879,2
5900,2
5930,2
5944,0
5948,2
5949,0
5954,1
5970,0
5978,2
5986,1
5992,1
5993,2
5997,1
6034,0
6063,0
6066,1
6101,2
6122,1
6137,1
6145,2
6161,2
6165,0
6174,0
6188,2
6189,1
6218,2
6227,0
6229,2
6230,1
6233,0
6236,1
6262,0
6271,2
6281,0
6289,1
6290,0
6297,1
6304,2
6306,0
6314,0
6319,1
6322,1
6334,0
6336,0
6344,2
6359,2
6361,0
6365,2
6368,2
6374,2
6375,1
6379,2
6382,0
6390,2
6391,2
6393,1
6396,1
6404,0
6422,2
6429,1
6435,1
6450,0
6455,1
6457,2
6461,1
6465,0
6491,2
6493,2
6498,0
6499,0
6500,1
6510,0
6512,0
6519,1
6531,2
6548,2
6549,1
6551,2
6577,1
6578,1
6579,0
6582,1
6583,0
6585,0
6599,0
6613,2
6615,2
6641,0
6643,1
6655,1
6658,0
6660,1
6663,1
6666,0
6667,0
6668,1
6674,1
6678,1
6680,2
6685,2
6691,2
6698,0
6702,2
6713,0
6717,1
6718,0
6727,0
6739,0
6744,0
6756,0
6767,0
6777,2
6782,2
6794,2
6804,1
6821,2
6826,1
6835,2
6840,2
6872,2
6874,2
6876,2
6883,1
6903,1
6912,1
6925,0
6936,1
6941,1
6942,2
6949,0
6970,0
6971,0
6975,0
6982,0
6983,0
6998,2
7003,0
7005,2
7015,1
7016,0
7025,2
7029,1
7031,1
7034,1
7037,1
7040,1
7047,2
7057,1
7068,2
7070,1
7075,0
7078,1
7079,2
7093,2
7107,1
7117,2
7118,1
7126,2
7128,0
7130,1
7136,2
7138,2
7148,2
7151,0
7177,1
7182,2
7191,0
7199,2
7204,2
7207,2
7231,2
7235,2
7258,1
7260,1
7270,2
7275,1
7288,2
7292,1
7300,2
7302,2
7311,2
7318,0
7322,2
7327,0
7332,2
7339,0
7340,1
7341,0
7365,1
7371,1
7375,0
7376,1
7383,0
7391,1
7398,1
7399,1
7406,1
7413,2
7423,2
7425,0
7427,1
7439,2
7442,2
7445,0
7451,2
7452,2
7466,0
7477,2
7480,1
7492,1
7512,1
7514,2
7520,1
7524,0
7525,2
7533,2
7538,1
7539,1
7540,2
7556,1
7561,2
7565,1
7566,2
7570,2
7582,1
7592,2
7611,1
7617,1
7634,0
7639,1
7640,1
7648,1
7649,0
7655,0
7668,0
7670,0
7679,1
7688,0
7698,2
7699,1
7705,0
7708,2
7709,1
7711,0
7714,1
7720,0
7727,0
7731,1
7743,2
7744,1
7750,2
7752,0
7763,0
7799,0
7812,0
7817,0
7821,0
7825,0
7827,0
7834,0
7835,1
7858,1
7859,1
7862,0
7875,0
7879,0
7912,2
7924,0
7926,0
7933,2
7937,2
7953,1
7957,1
7958,2
7972,2
7977,1
7981,0
7986,1
7989,2
8002,0
8008,2
8024,2
8025,2
8032,2
8035,2
8037,2
8039,1
8042,0
8044,2
8046,1
8049,2
8068,0
8075,2
8079,0
8082,0
8107,1
8112,1
8118,0
8119,0
8130,1
8131,0
8132,0
8145,0
8160,1
8166,0
8172,2
8173,0
8179,2
8180,0
8189,0
8191,1
8192,0
8195,2
8201,2
8202,0
8219,1
8220,2
8227,0
8230,0
8248,2
8252,2
8253,0
8265,2
8267,0
8268,0
8278,1
8286,1
8287,0
8288,0
8291,2
8293,2
8302,2
8306,0
8315,1
8316,1
8317,0
8320,1
8323,0
8336,0
8338,0
8355,0
8356,1
8357,0
8363,2
8371,0
8383,2
8393,0
8397,0
8399,2
8401,0
8419,0
8423,1
8426,0
8433,2
8434,2
8438,0
8440,2
8466,1
8470,1
8471,2
8475,0
8483,0
8489,0
8493,0
8502,2
8512,1
8520,2
8530,2
8539,2
8541,1
8543,0
8546,2
8555,2
8559,2
8572,0
8573,0
8578,1
8588,1
8592,2
8600,0
8601,2
8612,2
8618,2
8621,2
8632,0
8650,2
8653,0
8657,1
8658,1
8661,0
8666,2
8667,1
8670,0
8701,2
8709,0
8719,0
8721,2
8743,2
8755,1
8769,1
8771,0
8775,2
8791,1
8794,2
8800,0
8805,0
8809,1
8811,1
8816,2
8821,0
8825,2
8833,0
8848,0
8868,2
8871,2
8873,0
8878,2
8898,2
8905,2
8910,0
8913,1
8914,2
8921,2
8930,1
8945,1
8946,1
8969,0
8983,0
8998,1
9006,1
9014,1
9019,2
9020,1
9021,0
9060,1
9064,2
9080,1
9081,0
9098,2
9100,1
9108,0
9110,2
9112,2
9117,1
9119,0
9122,0
9161,0
9174,0
9180,1
9184,0
9195,1
9198,2
9200,1
9227,2
9232,2
9239,1
9244,0
9260,0
9262,2
9266,2
9268,0
9277,0
9281,0
9283,0
9284,0
9292,0
9303,1
9306,0
9313,2
9315,1
9322,1
9331,2
9335,1
9350,0
9364,0
9370,0
9371,1
9373,2
9383,1
9391,1
9398,1
9408,1
9412,0
9417,0
9418,0
9420,2
9429,1
9433,1
9434,0
9435,0
9436,2
9443,1
9444,0
9445,0
9457,1
9471,0
9476,2
9495,2
9497,2
9502,1
9503,0
9516,1
9522,2
9527,1
9537,0
9551,1
9558,0
9573,0
9575,2
9580,2
9586,2
9590,0
9602,1
9604,1
9616,2
9627,0
9634,2
9641,2
9642,1
9648,2
9650,1
9658,2
9664,0
9667,2
9675,2
9689,1
9690,1
9699,1
9705,1
9706,0
9724,0
9725,0
9731,1
9738,1
9740,0
9752,0
9755,1
9761,0
9763,0
9765,1
9766,1
9776,0
9777,1
9783,2
9795,2
9805,1
9813,0
9840,0
9844,2
9847,1
9848,2
9850,0
9851,1
9861,0
9871,0
9872,1
9888,2
9903,1
9913,0
9931,0
9933,0
9934,2
9936,1
9942,0
9954,0
9956,1
9963,2
9965,2
9986,0
9999,0
10000,2
10001,1
10015,0
10016,1
10018,1
10020,1
10021,1
10027,0
10029,2
10033,1
10044,1
10048,0
10056,2
10060,1
10069,2
10073,0
10074,2
10084,2
10089,0
10093,2
10097,0
10114,0
10119,1
10126,2
10132,0
10135,2
10147,2
10152,1
10163,1
10164,2
10169,1
10170,2
10173,2
10178,1
10187,0
10202,2
10205,0
10211,2
10215,0
10220,1
10225,1
10227,0
10240,2
10244,2
10251,2
10253,1
10254,0
10262,0
10264,1
10265,1
10266,1
10275,0
10278,2
10283,1
10284,2
10287,2
10296,2
10318,1
10324,2
10330,1
10364,0
10373,1
10374,1
10376,0
10381,1
10385,0
10399,1
10435,0
10438,0
10439,1
10449,0
10456,2
10465,1
10466,0
10470,0
10473,0
10480,1
10486,1
10492,2
10494,0
10503,1
10504,2
10516,1
10522,0
10526,1
10541,0
10547,0
10560,2
10561,2
10572,0
10578,0
10585,1
10586,2
10589,1
10591,1
10596,0
10599,2
10628,0
10630,0
10638,1
10644,0
10648,2
10672,2
10695,2
10705,0
10715,2
10724,1
10730,1
10740,2
10746,1
10748,2
10764,1
10771,2
10778,2
10781,1
10788,0
10798,1
10800,1
10801,2
10812,0
10821,2
10829,0
10830,1
10836,0
10846,0
10848,0
10849,0
10855,0
10873,1
10877,0
10879,1
10891,1
10901,2
10902,2
10903,1
10904,0
10908,0
10919,0
10927,0
10932,1
10938,1
10944,2
10972,1
10978,0
10989,2
10992,2
10993,1
10994,0
11008,1
11015,1
11026,0
11028,1
11046,0
11053,2
11054,2
11059,1
11062,1
11065,0
11076,2
11088,1
11111,1
11114,2
11124,2
11132,2
11134,0
11139,0
11145,2
11150,2
11156,2
11161,1
11164,2
11170,2
11176,2
11192,1
11202,1
11234,1
11237,1
11244,0
11259,2
11264,1
11266,1
11271,1
11274,1
11281,2
11285,1
11289,2
11296,0
11299,2
11302,0
11308,0
11312,2
11319,2
11327,0
11330,0
11345,0
11354,2
11368,1
11374,1
11378,0
11391,2
11393,2
11395,0
11402,2
11406,2
11413,0
11414,1
11417,2
11418,0
11432,0
11435,0
11438,1
11444,0
11448,2
11451,0
11455,1
11492,1
11499,1
11501,0
11511,0
11513,0
11532,1
11535,2
11543,0
11552,0
11562,0
11574,1
11579,1
11580,2
11583,1
11584,0
11591,0
11594,2
11608,1
11611,2
11629,0
11640,1
11645,0
11647,0
11652,0
11655,2
11656,1
11668,2
11671,1
11672,1
11673,0
11685,2
11704,2
11709,1
11712,2
11716,1
11728,2
11729,1
11736,1
11743,0
11745,0
11748,0
11750,1
11760,2
11761,1
11763,2
11769,0
11773,2
11786,1
11796,1
11804,1
11814,0
11827,1
11829,1
11835,2
11839,1
11842,0
11851,0
11868,0
11873,1
11879,2
11887,0
11901,2
11913,2
11918,0
11932,2
11939,0
11941,2
11954,2
11963,2
11984,2
11993,2
12017,2
12020,2
12024,1
12032,2
12037,0
12043,2
12045,0
12047,0
12052,2
12066,0
12078,2
12089,1
12095,2
12098,1
12101,1
12102,1
12105,1
12106,1
12110,0
12119,1
12125,1
12130,0
12142,2
12145,2
12149,1
12162,0
12176,1
12179,2
12186,0
12189,2
12191,2
12194,0
12206,1
12208,2
12228,0
12230,2
12235,2
12240,1
12249,2
12253,2
12254,0
12262,2
12264,0
12281,1
12282,2
12293,2
12296,1
12319,0
12320,2
12324,1
12331,0
12350,1
12353,2
12359,1
12372,2
12376,1
12385,0
12386,2
12398,0
12405,2
12407,1
12411,2
12413,0
12431,1
12448,0
12451,0
12474,1
12477,2
12478,1
12483,1
12494,1
12499,0
12519,1
12525,2
12528,1
12537,1
12552,2
12560,2
12561,1
12569,1
12584,2
12610,2
12611,2
12631,1
12634,1
12639,0
12642,0
12653,2
12663,0
12665,0
12670,0
12703,0
12707,2
12715,0
12721,1
12723,0
12746,1
12749,0
12760,1
12762,0
12770,2
12771,1
12777,0
12796,2
12802,0
12806,1
12813,1
12834,1
12836,0
12837,1
12838,0
12844,0
12857,2
12866,2
12870,2
12876,2
12879,1
12886,0
12896,2
12899,2
12908,1
12925,2
12926,2
12932,2
12935,1
12940,2
12957,0
12961,1
12967,2
12974,1
12976,1
12997,0
13001,1
13003,2
13006,0
13016,1
13024,1
13031,1
13035,1
13039,2
13044,1
13048,0
13059,2
13060,2
13065,0
13068,0
13071,2
13078,1
13080,1
13118,1
13119,1
13122,2
13132,1
13140,0
13144,0
13148,0
13163,1
13174,2
13177,0
13185,2
13186,1
13206,1
13207,1
13208,1
13219,1
13227,2
13234,2
13246,0
13250,2
13274,0
13276,0
13285,0
13288,0
13290,2
13300,0
13303,0
13311,0
13320,2
13335,2
13337,1
13344,0
13353,2
13357,1
13367,0
13373,0
13386,0
13393,1
13412,2
13427,1
13447,1
13473,0
13478,1
13483,2
13484,0
13490,1
13491,2
13497,2
13508,1
13512,2
13518,0
13523,2
13530,2
13539,2
13554,2
13557,2
13558,1
13561,0
13572,1
13575,2
13578,2
13585,0
13588,2
13591,2
13598,0
13600,2
13615,1
13627,0
13631,1
13635,1
13661,0
13685,0
13707,1
13714,0
13729,1
13736,0
13742,1
13744,1
13745,1
13754,2
13761,1
13763,1
13767,0
13769,1
13783,0
13803,1
13811,0
13822,2
13840,0
13847,1
13852,1
13860,0
13861,0
13875,2
13880,2
13897,1
13901,0
13902,0
13903,0
13905,2
13908,1
13923,2
13925,2
13926,0
13930,2
13931,2
13933,2
13936,2
13942,2
13946,2
13957,1
13970,1
13972,1
13981,1
13988,1
13992,0
13995,0
13996,0
14012,0
14014,0
14023,1
14026,0
14029,0
14052,1
14053,0
14058,0
14062,0
14088,2
14117,1
14122,2
14123,1
14133,2
14135,2
14141,0
14144,2
14160,1
14166,0
14168,0
14176,0
14181,2
14185,0
14186,0
14190,2
14194,2
14206,0
14221,2
14239,2
14245,2
14250,0
14264,2
14293,2
14296,1
14302,1
14303,2
14305,2
14307,1
14312,2
14316,1
14324,2
14329,1
14332,2
14343,2
14350,1
14366,1
14367,2
14369,1
14370,1
14375,1
14387,0
14392,0
14419,0
14421,0
14424,2
14425,2
14428,0
14432,0
14433,1
14439,2
14448,0
14451,2
14454,1
14456,1
14475,0
14487,1
14491,1
14492,2
14508,0
14509,0
14511,0
14512,1
14513,0
14516,2
14535,1
14540,1
14546,1
14554,0
14561,2
14571,0
14575,1
14579,0
14580,2
14588,2
14598,0
14599,1
14608,2
14615,2
14632,1
14636,2
14644,2
14646,0
14649,2
14653,0
14655,1
14656,2
14657,0
14661,2
14666,2
14671,2
14672,2
14686,1
14710,2
14718,0
14733,0
14734,2
14738,1
14739,0
14763,1
14767,1
14785,1
14788,2
14789,1
14808,2
14814,1
14823,1
14834,0
14836,1
14841,2
14847,1
14849,2
14850,0
14854,1
14859,1
14871,0
14878,2
14885,2
14896,0
14903,2
14906,2
14916,1
14921,2
14925,1
14932,0
14945,1
14947,0
14950,1
14952,1
14953,1
14959,0
14961,1
14964,2
14982,2
14989,0
14991,0
14996,0
15002,1
15006,0
15007,1
15013,1
15016,2
15026,2
15032,2
15036,1
15040,0
15044,0
15052,2
15056,1
15065,0
15066,1
15069,0
15073,0
15109,2
15115,2
15139,1
15141,1
15151,2
15155,2
15164,2
15166,2
15167,2
15168,2
15170,1
15184,2
15188,2
15195,1
15203,1
15206,1
15207,2
15217,0
15218,0
15223,1
15227,2
15230,2
15232,1
15233,1
15250,0
15264,0
15265,1
15268,1
15284,0
15292,2
15296,0
15302,1
15303,1
15304,2
15315,2
15318,2
15322,0
15325,0
15328,2
15332,2
15335,0
15339,0
15352,0
15353,2
15355,0
15364,1
15371,1
15372,1
15374,1
15376,1
15379,0
15390,1
15395,0
15398,0
15401,1
15405,2
15406,0
15413,1
15416,0
15423,0
15431,1
15434,0
15442,2
15444,0
15452,2
15464,2
15468,2
15470,0
15482,2
15485,2
15495,1
15504,0
15513,1
15519,2
15524,0
15526,0
15528,1
15531,0
15548,1
15559,0
15561,1
15568,0
15578,2
15581,1
15584,1
15585,0
15596,0
15600,2
15602,1
15617,1
15621,2
15627,2
15633,1
15635,0
15639,0
15640,0
15649,1
15653,0
15658,1
15677,2
15692,0
15708,1
15743,0
15755,1
15770,2
15781,1
15783,1
15788,2
15790,1
15800,2
15810,0
15811,0
15815,1
15825,1
15856,0
15862,0
15864,2
15871,2
15873,0
15889,0
15890,0
15892,1
15903,0
15907,2
15914,1
15926,2
15936,0
15939,1
15952,2
15956,1
15959,2
15960,1
15971,1
15976,1
15978,2
15981,1
15986,2
15989,1
15991,1
15992,2
15993,0
15998,0
16001,2
16015,0
16033,0
16044,1
16055,0
16058,2
16066,0
16073,0
16081,1
16082,1
16095,1
16105,0
16120,1
16121,0
16162,0
16166,0
16169,1
16176,2
16188,0
16194,2
16195,2
16232,0
16234,0
16237,0
16240,0
16245,2
16248,2
16249,1
16250,1
16258,2
16265,1
16271,0
16272,0
16281,1
16285,1
16289,0
16293,1
16296,0
16298,1
16299,2
16304,1
16306,2
16315,2
16328,2
16330,0
16344,0
16346,0
16350,1
16351,2
16356,2
16360,2
16362,1
16363,0
16365,0
16370,1
16377,2
16379,0
16382,2
16387,1
16394,0
16396,1
16401,1
16402,2
16407,2
16418,0
16423,2
16426,2
16443,2
16449,0
16455,2
16462,2
16466,1
16469,1
16493,1
16508,2
16528,0
16533,0
16548,1
16549,1
16555,0
16557,1
16559,0
16562,1
16566,0
16569,2
16572,1
16581,2
16589,0
16595,1
16611,1
16625,1
16628,2
16629,1
16630,2
16640,0
16642,2
16646,1
16647,2
16651,0
16657,1
16658,2
16673,2
16674,2
16694,1
16704,1
16709,1
16715,1
16717,2
16740,0
16760,1
16774,2
16777,1
16780,1
16786,2
16790,2
16794,1
16795,0
16807,2
16809,2
16810,1
16817,1
16819,2
16828,1
16834,0
16836,1
16846,2
16861,2
16878,0
16879,1
16883,0
16893,0
16894,2
16899,1
16900,1
16902,1
16903,0
16909,1
16913,0
16918,0
16925,1
16927,2
16929,0
16930,2
16935,1
16945,2
16955,1
16963,0
16975,0
16986,1
16988,1
16992,0
16993,2
16998,2
16999,1
17005,0
17008,1
17010,1
17017,1
17018,0
17019,2
17039,0
17044,1
17046,1
17065,2
17072,0
17084,2
17091,0
17111,2
17119,2
17122,1
17136,0
17155,0
17161,2
17178,1
17188,2
17193,2
17195,1
17196,2
17217,0
17218,2
17222,1
17223,1
17227,1
17228,2
17230,0
17236,2
17254,2
17258,1
17263,0
17269,1
17272,2
17279,1
17286,1
17289,2
17290,2
17300,2
17305,2
17307,1
17327,1
17338,2
17341,2
17346,0
17354,1
17365,0
17371,2
17373,2
17382,0
17384,0
17390,1
17392,2
17423,0
17427,0
17434,0
17436,0
17441,0
17465,0
17471,1
17474,2
17484,1
17487,2
17501,0
17502,2
17507,1
17515,2
17539,1
17550,1
17554,1
17562,0
17569,0
17573,0
17581,0
17591,0
17603,1
17604,1
17605,0
17607,0
17622,0
17631,0
17633,1
17636,1
17646,1
17648,0
17649,1
17665,0
17684,2
17702,0
17704,1
17705,0
17706,0
17708,0
17718,1
17720,0
17721,0
17727,2
17729,1
17731,1
17749,2
17765,2
17783,0
17790,1
17796,2
17811,1
17812,1
17829,1
17833,2
17836,2
17852,0
17870,1
17883,0
17887,0
17892,0
17900,1
17905,0
17919,0
17923,0
17924,1
17926,0
17942,2
17945,1
17946,0
17955,1
17961,2
17964,1
17972,1
17973,0
17981,2
17987,0
17991,2
18006,1
18011,0
18019,2
18022,1
18026,2
18035,2
18036,0
18053,2
18055,1
18056,2
18073,2
18077,2
18079,1
18089,0
18095,0
18096,0
18105,2
18114,1
18120,2
18127,0
18135,2
18136,0
18140,1
18142,0
18153,2
18154,0
18159,1
18167,0
18172,0
18185,0
18187,2
18188,1
18199,0
18204,2
18210,0
18213,1
18218,2
18225,1
18236,0
18239,0
18252,0
18253,1
18254,1
18272,2
18277,2
18279,0
18294,1
18297,0
18301,1
18303,0
18307,1
18312,2
18314,0
18321,2
18329,1
18336,0
18342,2
18351,2
18352,1
18363,2
18365,1
18371,2
18375,0
18378,2
18388,1
18403,1
18414,2
18418,1
18426,0
18437,2
18440,1
18442,1
18460,1
18467,2
18477,0
18479,2
18484,1
18489,1
18496,2
18518,1
18519,1
18523,2
18531,2
18537,2
18540,1
18546,0
18548,0
18579,2
18584,2
18588,0
18599,1
18605,1
18613,0
18614,0
18616,2
18617,2
18625,1
18628,0
18638,0
18644,1
18651,1
18657,0
18663,1
18664,2
18679,2
18683,1
18686,0
18751,2
18757,2
18760,1
18787,0
18796,2
18825,1
18827,2
18830,2
18844,2
18854,0
18861,1
18864,1
18877,2
18884,2
18892,2
18894,2
18895,1
18903,0
18915,1
18939,2
18946,2
18950,2
18954,2
18965,1
18971,0
19007,2
19012,0
19013,2
19022,2
19024,2
19026,0
19038,1
19039,0
19040,2
19042,2
19052,1
19062,1
19066,1
19081,0
19089,2
19092,1
19093,0
19098,2
19104,0
19115,2
19123,2
19130,2
19131,1
19134,2
19138,0
19144,1
19147,0
19171,1
19172,2
19181,0
19187,0
19188,1
19196,1
19210,2
19216,0
19217,2
19240,1
19247,2
19250,0
19252,1
19257,1
19259,2
19262,0
19277,2
19288,1
19289,0
19291,2
19297,2
19299,2
19300,0
19304,2
19308,1
19313,1
19330,1
19339,0
19354,2
19369,1
19374,0
19385,0
19396,1
19400,0
19410,0
19418,2
19420,2
19435,0
19437,2
19459,1
19468,0
19472,2
19477,2
19480,0
19482,2
19490,1
19494,1
19506,2
19510,2
19516,2
19517,2
19520,1
19521,0
19527,0
19546,0
19548,0
19554,2
19559,2
19569,1
19570,0
19583,2
19587,0
19588,1
19589,1
19590,0
19591,2
19613,2
19621,1
19626,1
19629,1
19630,0
19632,0
19634,1
19645,0
19650,1
19657,1
19693,1
19698,0
19701,1
19717,0
19734,2
19739,0
19743,0
19745,1
19746,1
19755,0
19756,2
19758,2
19759,1
19767,1
19769,2
19777,0
19783,0
19787,1
19792,1
19794,2
19801,0
19802,2
19805,0
19809,2
19817,0
19830,1
19840,2
19854,0
19855,2
19862,1
19881,0
19888,2
19893,2
19894,1
19895,0
19898,0
19899,0
19908,2
19913,2
19915,0
19921,1
19923,2
19925,0
19928,0
19934,0
19945,1
19950,2
19968,1
19983,0
19990,0
